title,rating,read_status,date_added,date_last_updated
Soğuk Kahve,3,read,2015-05-27 17:39:31 UTC,2015-05-27 17:40:35 UTC
Sabah Uykum,4,read,2015-05-27 17:40:39 UTC,2015-05-27 17:41:22 UTC
The Green Mile,3,read,2015-05-27 17:41:52 UTC,2015-05-27 17:42:56 UTC
Looking for Alaska,0,to-read,2015-05-27 17:43:14 UTC,2015-05-27 17:43:15 UTC
Paper Towns,0,to-read,2015-05-27 17:43:24 UTC,2015-05-27 17:43:24 UTC
The Fault in Our Stars,5,read,2015-05-27 17:43:36 UTC,2015-05-27 17:43:56 UTC
Həyat sandığı (Qaranlıq günəş #2),5,read,2015-05-27 17:44:09 UTC,2015-05-27 17:44:34 UTC
"Xeyrin Çöküşü (Qaranlıq Günəş, #1)",4,read,2015-05-27 17:44:37 UTC,2015-05-27 17:45:01 UTC
The Kite Runner,5,read,2015-05-27 17:45:33 UTC,2015-05-27 18:00:48 UTC
A Thousand Splendid Suns,5,read,2015-05-27 17:46:15 UTC,2015-05-27 18:00:46 UTC
And the Mountains Echoed,4,read,2015-05-27 17:46:36 UTC,2015-05-27 18:00:45 UTC
İtmiş Qızın Axtarışı,4,read,2015-05-27 17:47:05 UTC,2015-05-27 18:00:42 UTC
Görünməyən İzlər,4,read,2015-05-27 17:47:39 UTC,2015-05-27 18:00:40 UTC
Dilənçi Qadının Sirri,4,read,2015-05-27 17:48:08 UTC,2015-05-27 18:00:39 UTC
Xəyanət,5,read,2015-05-27 17:48:56 UTC,2016-06-23 17:51:13 UTC
Bakıdan Gələn Xəfiyyə,4,read,2015-05-27 17:49:00 UTC,2017-07-24 06:23:01 UTC
"Mockingjay (The Hunger Games, #3)",0,to-read,2015-05-27 17:49:22 UTC,2025-12-29 00:45:38 UTC
"Catching Fire (The Hunger Games, #2)",0,to-read,2015-05-27 17:49:23 UTC,2025-12-29 00:45:30 UTC
"The Hunger Games (The Hunger Games, #1)",5,read,2015-05-27 17:49:25 UTC,2025-12-29 00:45:21 UTC
Dəli Kür,4,read,2015-05-27 17:50:26 UTC,2015-05-27 17:50:47 UTC
Les Misérables,5,read,2015-05-27 17:51:34 UTC,2015-05-27 17:51:50 UTC
Notre-Dame de Paris,4,read,2015-05-27 17:52:59 UTC,2015-05-27 18:00:16 UTC
Ümidlərin İzi İlə,5,read,2015-05-27 17:53:58 UTC,2015-05-27 17:54:16 UTC
Sirlər xəzinəsi,4,read,2015-05-27 17:54:43 UTC,2020-06-28 17:37:37 UTC
Yeddi gözəl,4,read,2015-05-27 17:55:12 UTC,2020-06-28 17:35:42 UTC
İsgəndərnamə,3,read,2015-05-27 17:55:25 UTC,2015-05-27 17:55:35 UTC
Leyli və Məcnun,5,read,2015-05-27 17:55:38 UTC,2017-01-17 07:44:31 UTC
"Xosrov və Şirin (Xəmsə, #2)",4,read,2015-05-27 17:55:51 UTC,2021-06-28 15:49:56 UTC
"Eşitdiklərim, oxuduqlarım, gördüklərim",5,read,2015-05-27 17:56:18 UTC,2015-05-27 17:56:35 UTC
Aklından Bir Sayı Tut,5,read,2015-05-27 17:57:09 UTC,2015-05-27 17:57:20 UTC
"Senden Önce Ben (Senden Önce Ben, #1)",5,read,2015-05-27 17:58:24 UTC,2015-05-27 17:58:36 UTC
"Duman ve Kemiğin Kızı (Duman ve Kemiğin Kızı, #1)",5,read,2015-05-27 18:12:00 UTC,2015-11-13 17:16:55 UTC
"Dreams of Gods & Monsters (Daughter of Smoke & Bone, #3)",4,read,2015-05-27 18:12:35 UTC,2018-05-13 14:51:22 UTC
"The Unbecoming of Mara Dyer (Mara Dyer, #1)",0,to-read,2015-05-27 18:14:01 UTC,2015-05-27 18:14:02 UTC
"Magonia (Magonia, #1)",0,to-read,2015-05-27 18:14:08 UTC,2015-05-27 18:14:09 UTC
Çalıkuşu,5,read,2015-05-27 18:15:42 UTC,2015-05-27 18:15:56 UTC
"The Mystery of the Blue Train (Hercule Poirot, #6)",4,read,2015-05-27 18:17:01 UTC,2015-05-27 18:17:22 UTC
Nabatat həkimi müsyo Jordan ilə cadükün dərviş Məstəli-şahın hekayəsi,4,read,2015-05-27 18:21:00 UTC,2015-05-27 18:21:25 UTC
Molla İbrahim-Xəlil kimyagər,4,read,2015-05-27 18:21:30 UTC,2015-05-27 18:21:41 UTC
Hacı-Qara. Sərgüzəşti-mərdi xəsis,4,read,2015-05-27 18:21:46 UTC,2015-05-27 18:21:57 UTC
Hekayəti Xırsi-Quldurbasan,4,read,2015-05-27 18:22:00 UTC,2015-05-27 18:22:11 UTC
Koroğlu Dastanı,5,read,2015-05-27 18:22:23 UTC,2015-05-27 18:22:35 UTC
Kitabi-Dədə Qorqud,5,read,2015-05-27 18:22:38 UTC,2020-08-24 12:14:38 UTC
The Snow Queen,5,read,2015-05-27 18:24:27 UTC,2015-05-27 18:24:48 UTC
Ər. Lənət. Oyunbazlar: Pyeslər,5,read,2015-05-27 18:27:45 UTC,2022-08-10 22:45:18 UTC
Sevil,5,read,2015-05-27 18:28:43 UTC,2015-05-27 18:29:06 UTC
Solğun çiçəklər,4,read,2015-05-27 18:29:33 UTC,2015-05-27 18:29:45 UTC
Almaz,5,read,2015-05-27 18:29:55 UTC,2015-05-27 18:30:04 UTC
Dönüş,4,read,2015-05-27 18:30:08 UTC,2015-05-27 18:30:19 UTC
1905-ci ildə,5,read,2015-05-27 18:30:23 UTC,2015-05-27 18:30:43 UTC
Vəfalı Səriyyə yaxud Göz yaşları içərisində gülüş,5,read,2015-05-27 18:30:47 UTC,2015-05-27 18:30:58 UTC
Yaşar,3,read,2015-05-27 18:31:03 UTC,2015-05-27 18:31:11 UTC
Alice in Wonderland,4,read,2015-05-27 18:33:01 UTC,2015-05-27 18:33:11 UTC
Şeyx Sənan,4,read,2015-05-27 18:34:15 UTC,2015-05-27 18:34:47 UTC
Robinson Crusoe,4,read,2015-05-27 18:34:52 UTC,2015-05-27 18:35:10 UTC
The Prince and the Pauper,4,read,2015-05-27 18:36:01 UTC,2015-05-27 18:36:19 UTC
The Adventures of Tom Sawyer,4,read,2015-05-27 18:36:27 UTC,2015-05-27 18:36:37 UTC
"Black Coffee (Hercule Poirot, #7.5)",3,read,2015-07-14 10:25:17 UTC,2015-07-14 10:25:44 UTC
Marslı,5,read,2015-07-27 12:24:43 UTC,2015-07-27 12:25:53 UTC
"Beyaz Nokta (Kötü Çocuk, #1)",2,read,2015-08-01 08:22:13 UTC,2015-08-01 08:23:59 UTC
Son Mohikan,3,read,2015-08-02 11:55:54 UTC,2015-08-05 11:49:14 UTC
Ivanov (Plays for Performance Series),3,read,2015-08-06 11:55:56 UTC,2015-08-08 08:29:03 UTC
The Seagull,2,read,2015-08-08 08:30:30 UTC,2016-10-06 04:15:35 UTC
Hava Məbədi,3,read,2015-08-25 07:37:01 UTC,2015-08-25 09:10:47 UTC
